Round,gID,T1,T2,gIDT1,gIDT2,Result
1, 1, 1, 2,,,
1, 2, 3, 4,,,
1, 3, 5, 6,,,
1, 4, 7, 8,,,
1, 5, 9, 10,,,
1, 6, 11, 12,,,
1, 7, 13, 14,,,
1, 8, 15, 16,,,
1, 9, 17, 18,,,
1, 10, 19, 20,,,
1, 11, 21, 22,,,
1, 12, 23, 24,,,
1, 13, 25, 26,,,
1, 14, 27, 28,,,
1, 15, 29, 30,,,
1, 16, 31, 32,,,
1, 17, 33, 34,,,
1, 18, 35, 36,,,
1, 19, 37, 38,,,
1, 20, 39, 40,,,
1, 21, 41, 42,,,
1, 22, 43, 44,,,
1, 23, 45, 46,,,
1, 24, 47, 48,,,
1, 25, 49, 50,,,
1, 26, 51, 52,,,
1, 27, 53, 54,,,
1, 28, 55, 56,,,
1, 29, 57, 58,,,
1, 30, 59, 60,,,
1, 31, 61, 62,,,
1, 32, 63, 64,,,
2, 33,,, 1, 2,
2, 34,,, 3, 4,
2, 35,,, 5, 6,
2, 36,,, 7, 8,
2, 37,,, 9, 10,
2, 38,,, 11, 12,
2, 39,,, 13, 14,
2, 40,,, 15, 16,
2, 41,,, 17, 18,
2, 42,,, 19, 20,
2, 43,,, 21, 22,
2, 44,,, 23, 24,
2, 45,,, 25, 26,
2, 46,,, 27, 28,
2, 47,,, 29, 30,
2, 48,,, 31, 32,
3, 49,,, 33, 34,
3, 50,,, 35, 36,
3, 51,,, 37, 38,
3, 52,,, 39, 40,
3, 53,,, 41, 42,
3, 54,,, 43, 44,
3, 55,,, 45, 46,
3, 56,,, 47, 48,
4, 57,,, 49, 50,
4, 58,,, 51, 52,
4, 59,,, 53, 54,
4, 60,,, 55, 56,
5, 61,,, 57, 58,
5, 62,,, 59, 60,
6, 63,,, 61, 62,