TeamID,TeamName,Seed
1,Auburn, 1
2,Alabama St/St Francis PA, 16
3,Louisville, 8
4,Creighton, 9
5,Michigan, 5
6,UC San Diego, 12
7,Texas A&M, 4
8,Yale, 13
9,Ole Miss, 6
10,San Diego State/North Carolina, 11
11,Iowa State, 3
12,Lipscomb, 14
13,Marquette, 7
14,New Mexico, 10
15,Michigan State, 2
16,Bryant, 15
17,Florida, 1
18,Norfolk State, 16
19,UConn, 8
20,Oklahoma, 9
21,Memphis, 5
22,Colorado State, 12
23,Maryland, 4
24,Grand Canyon, 13
25,Missouri, 6
26,Drake, 11
27,Texas Tech, 3
28,UNC Wilmington, 14
29,Kansas, 7
30,Arkansas, 10
31,St John's, 2
32,Omaha, 15
33,Duke, 1
34,American/Mount St Mary's, 16
35,Mississippi State, 8
36,Baylor, 9
37,Oregon, 5
38,Liberty, 12
39,Arizona, 4
40,Akron, 13
41,BYU, 6
42,VCU, 11
43,Wisconsin, 3
44,Montana, 14
45,Saint Mary's, 7
46,Vanderbilt, 10
47,Alabama, 2
48,Robert Morris, 15
49,Houston, 1
50,SIUE, 16
51,Gonzaga, 8
52,Georgia, 9
53,Clemson, 5
54,McNeese, 12
55,Purdue, 4
56,High Point, 13
57,Illinois, 6
58,Texas/Xavier, 11
59,Kentucky, 3
60,Troy, 14
61,UCLA, 7
62,Utah State, 10
63,Tennessee, 2
64,Wofford, 15